project_id;binary_limiar;binary_limiar_aux
manau_029C6688D833D416571E9E7751E2351CBEF8A9486DF5D5CC5090B4FE49194B01_029C66.png;;1
manau_04BD6EC3C4775165A4C6431D1F07705BD46ACF670E3D95BF67E2C59267CAEBA4_04BD6E.png;0;
manau_058C91CC0DBC3BC2C6041181039A5464476DB983F07BBE457CE4583AB2E4B4D3_058C91.png;0;
manau_0809B9291C1DE0E6BD420CCF423A0EF54B143D43256CC344A0BAF7B52467E906_0809B9.png;0;
manau_08379473CB482ED87E0427390C525A9CFCAC29D4C738A2A0D9B4514340B3A7B5_083794.png;;
manau_08F3CAFDD2EEAE657E0D29AF1A1C6BB5F255B92EEC8AC30C38E66C968BDDC162_08F3CA.png;0;
manau_09E55C009FC7BCF1271A6824934275097CE125412D214FCD691E2EAA466E2505_09E55C.png;1;
manau_09EA52A3B528712C5BDA5AB02C8209F394E47F8D2E51EAAD65A23EA987FBB01A_09EA52.png;;1
manau_0C094165ABE2E79FD70581B89E5BA785B14ADA88E6AAE9563DF6E382FEE3CE70_0C0941.png;1;
manau_0D9233D27B3CD50B1F3B83D801EFC00D5C122B4BABD89D0182C5AE75C900863D_0D9233.png;1;
manau_0DED0A5CB7378FD54D4407D3B822C5CB783E146C67F2C080E7AE7C48431E7F87_0DED0A.png;0;
manau_0E9D5B913A9E1893B4013A4E8A832F30E2735BED0ED5058DFF707F6D56E99FE4_0E9D5B.png;;1
manau_0F30E278FDD8DC52822849D049F5B34464ADEC2648BABC6252FC809CDF0D5DBE_0F30E2.png;0;
manau_12409688A77A8C4BF3D55AD8AE0B1D772BD16B180BAFC6D8D1A20FF208B61593_124096.png;0;
manau_13D1386058D5C3E32937BA60B008481F4F177A66A7A13ACC0782D580DD41AAF1_13D138.png;;1
manau_1513C3EEBE3E8F8FF7A9782B2AE8E4A486E44A73F4CAF5B35A0C5BE44BC16C58_1513C3.png;0;
manau_16F6770DA270377907BE2661C20948DAAFCA3DA86513967C40DF05CC49BBCC01_16F677.png;1;
manau_18C0CAA8A095ABDE3C0E659FE038A6737C40161EF66AE9DD776B3D07D56131F0_18C0CA.png;;0
manau_1B318D754F43F137F49ADA9090986B0B9CE35B8C4EE2DDF9FCDA370FCCC2EB27_1B318D.png;0;
manau_1EADFBB1810327FF1AB5DF29D29F6AF249020F36D3D9AF73268E6C838362B556_1EADFB.png;1;
manau_202CA480AD77B5911AC9E5D94ADDBB63FEFC43BD5E394D359823D814AB4FB24D_202CA4.png;1;
manau_20652C99F32242E39C0CC170E925EC8152ABF7C6ECBDAF40757983E4EC6D6A05_20652C.png;;1
manau_20925C23B55033701E8A6DAAFB1A452A5EFF8AF8A5B9080DB315F5C94E2F7781_20925C.png;0;
manau_20CBE74DA41F02EFBBF989B1C38C1C2C73AEC779B59CABA1220FA38E2914EF08_20CBE7.png;0;
manau_21B3D6E6F4C05FF5EAD2703C21B0CACC8A0BB026927A2599E6C94B61FD9BC13B_21B3D6.png;1;
